test	back	pval	kval
Acomys_russatus	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	0.82
Apodemus_sylvaticus	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	0.98
Arvicanthis_niloticus	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	1.00
Arvicola_amphibius	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	0.97
Cavia_porcellus	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Node73,Node69,Node13,Node3`	0.5220	15.20
Chinchilla_lanigera	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	0.90
Cricetulus_griseus	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	0.0000	0.12
Dipodomys_ordii	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	0.0003	50.00
Dipodomys_spectabilis	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Fukomys_damarensis,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	1.0000	0.89
Fukomys_damarensis	`Ochotona_princeps,Ochotona_curzoniae,Marmota_marmota_marmota,Marmota_monax,Node6,Ictidomys_tridecemlineatus,Urocitellus_parryii,Node9,Node5,Sciurus_carolinensis,Node4,Peromyscus_californicus_insignis,Peromyscus_leucopus,Node21,Peromyscus_maniculatus_bairdii,Node20,Onychomys_torridus,Node19,Microtus_oregoni,Microtus_ochrogaster,Node30,Microtus_fortis,Node29,Arvicola_amphibius,Node28,Myodes_glareolus,Node27,Mesocricetus_auratus,Cricetulus_griseus,Node37,Phodopus_roborovskii,Node36,Node26,Node18,Rattus_norvegicus,Mus_musculus,Mus_caroli,Node48,Mus_pahari,Node47,Mastomys_coucha,Node46,Apodemus_sylvaticus,Node45,Grammomys_surdaster,Arvicanthis_niloticus,Node54,Node44,Node42,Acomys_russatus,Psammomys_obesus,Meriones_unguiculatus,Node59,Node57,Node41,Node17,Nannospalax_galili,Node16,Jaculus_jaculus,Node15,Perognathus_longimembris_pacificus,Dipodomys_spectabilis,Dipodomys_ordii,Node66,Node64,Node14,Heterocephalus_glaber,Node70,Octodon_degus,Chinchilla_lanigera,Node74,Cavia_porcellus,Node73,Node69,Node13,Node3`	0.0353	0.00
