clade	test	back	pval	kval
Actinopterygii_group1	Acanthopagrus_latus	`Sparus_aurata,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.5399	0.82
Actinopterygii_group1	Anarrhichthys_ocellatus	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.6749	0.88
Actinopterygii_group1	Cheilinus_undulatus	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	1.0000	1.42
Actinopterygii_group1	Cottoperca_gobio	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	1.0000	1.01
Actinopterygii_group1	Cyclopterus_lumpus	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.0008	2.74
Actinopterygii_group1	Dicentrarchus_labrax	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.4119	0.69
Actinopterygii_group1	Epinephelus_fuscoguttatus	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.5244	0.29
Actinopterygii_group1	Epinephelus_lanceolatus	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.0464	0.00
Actinopterygii_group1	Etheostoma_cragini	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_spectabile,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.2949	1.32
Actinopterygii_group1	Etheostoma_spectabile	`Sparus_aurata,Acanthopagrus_latus,Node4,Scatophagus_argus,Node3,Larimichthys_crocea,Node2,Dicentrarchus_labrax,Morone_saxatilis,Node9,Node1,Cheilinus_undulatus,Labrus_bergylta,Node13,Micropterus_dolomieu,Micropterus_salmoides,Node17,Siniperca_chuatsi,Node16,Node12,Etheostoma_cragini,Node23,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Node28,Node26,Node22,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Node38,Node36,Anarrhichthys_ocellatus,Node35,Node33,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Node46,Notothenia_coriiceps,Node45,Node43,Cottoperca_gobio,Node42,Node32,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Node52,Plectropomus_leopardus,Node51,Node31,Node21`	0.2061	0.00
