test	back	pval	kval
Acipenser_ruthenus	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.3024	2.13
Anguilla_anguilla	`Lepisosteus_oculatus,Megalops_cyprinoides,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.4341	0.88
Brienomyrus_brachyistius	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.7654	1.24
Erpetoichthys_calabaricus	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Node15`	0.4770	0.79
Lepisosteus_oculatus	`Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.0497	1.38
Megalops_cyprinoides	`Lepisosteus_oculatus,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.5544	1.09
Paramormyrops_kingsleyae	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.0071	0.19
Polyodon_spathula	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.0073	0.39
Polypterus_senegalus	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Scleropages_formosus,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Erpetoichthys_calabaricus,Node15`	0.9948	1.01
Scleropages_formosus	`Lepisosteus_oculatus,Megalops_cyprinoides,Anguilla_anguilla,Node4,Paramormyrops_kingsleyae,Brienomyrus_brachyistius,Node8,Node7,Node3,Node1,Acipenser_ruthenus,Polyodon_spathula,Node12,Polypterus_senegalus,Erpetoichthys_calabaricus,Node15`	0.0000	0.00
