clade	mdl	fgspecies	bgspecies	om0	lnlm0	npm0	ombnfg	ombnbg	lnlbn	npbn	ombffg	ombfbg	lnlbf	npbf
Primates	F1x4	Aotus_nancymaae	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.47424	-6479.153070	63	1.00000	0.48116	-6482.014230	63	0.20086	0.48125	-6477.998067	64
Primates	F3x4	Aotus_nancymaae	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.48314	-6493.066040	63	1.00000	0.49042	-6495.856961	63	0.20600	0.49034	-6491.907995	64
Primates	F1x4	Callithrix_jacchus	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.47424	-6479.153070	63	1.00000	0.47720	-6481.207290	63	0.37453	0.47703	-6479.019797	64
Primates	F3x4	Callithrix_jacchus	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.48314	-6493.066040	63	1.00000	0.48642	-6495.076585	63	0.37548	0.48617	-6492.914962	64
Primates	F1x4	Carlito_syrichta	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus	0.47424	-6479.153070	63	1.00000	0.44752	-6477.529342	63	0.75184	0.44801	-6476.789819	64
Primates	F3x4	Carlito_syrichta	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus	0.48314	-6493.066040	63	1.00000	0.45649	-6491.436303	63	0.76235	0.45683	-6490.768965	64
Primates	F1x4	Cebus_imitator	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.47424	-6479.153070	63	1.00000	0.47743	-6480.711278	63	0.27699	0.47745	-6478.807273	64
Primates	F3x4	Cebus_imitator	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Cercocebus_atys,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.48314	-6493.066040	63	1.00000	0.48652	-6494.578522	63	0.28170	0.48643	-6492.717536	64
Primates	F1x4	Cercocebus_atys	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.47424	-6479.153070	63	1.00000	0.47446	-6479.340349	63	0.40966	0.47441	-6479.147708	64
Primates	F3x4	Cercocebus_atys	Otolemur_garnettii,Propithecus_coquereli,Microcebus_murinus,Prolemur_simus,Lemur_catta,Aotus_nancymaae,Callithrix_jacchus,Cebus_imitator,Sapajus_apella,Saimiri_boliviensis_boliviensis,Hylobates_moloch,Nomascus_leucogenys,Gorilla_gorilla_gorilla,Homo_sapiens_neanderthalensis,Pan_paniscus,Pan_troglodytes_troglodytes,Pongo_abelii,Chlorocebus_sabaeus,Papio_anubis,Theropithecus_gelada,Mandrillus_leucophaeus,Macaca_thibetana_thibetana,Macaca_mulatta_lasiotus,Macaca_fascicularis_fascicularis,Macaca_nemestrina,Trachypithecus_francoisi,Rhinopithecus_roxellana,Rhinopithecus_bieti,Piliocolobus_tephrosceles,Colobus_angolensis_palliatus,Carlito_syrichta	0.48314	-6493.066040	63	1.00000	0.48336	-6493.242787	63	0.42081	0.48331	-6493.061268	64
